Claim year,Expected result,Notes,School name,Supply teacher?,Full term contract?,Employed directly by school?,Subject to poor performance measures?,ITT year,More than 50% of hours teaching eligible subjects?,Teaching subject,ITT subject claimed,Degree subject,Trainee?,First name,Last name,TRN,Date of birth,NINO
2025/2026,Eligible,Teaching eligible subject with ITT in same subject,Eligible school,N,,,N,2024/2025,Y,Computing,Computing,,N,Kenneth,Decerqueira,3013047,08/07/1965,AB400011A
2025/2026,Eligible,Teaching eligible subject with ITT in different eligible subject,Eligible school,N,,,N,2024/2025,Y,Computing,Computing,,N,Kenneth,Decerqueira,3013048,08/07/1965,AB400011A
2025/2026,Ineligible,Teaching eligible subject with ITT in ineligible subject,Eligible school,N,,,N,2024/2025,Y,Computing,English,,N,Kenneth,Decerqueira,3013049,08/07/1965,AB400011A
2025/2026,Eligible,No eligible ITT but degree in eligible subject,Eligible school,N,,,N,2024/2025,Y,Computing,English,Mathematics,N,Kenneth,Decerqueira,3013050,08/07/1965,AB400011A
2025/2026,Ineligible,Degree in ineligible subject,Eligible school,N,,,N,2024/2025,Y,Computing,English,English,N,Kenneth,Decerqueira,3013051,08/07/1965,AB400011A
2025/2026,Ineligible,Ineligible school,Ineligible school,N,,,N,2024/2025,Y,Computing,Computing,,N,Kenneth,Decerqueira,3013052,08/07/1965,AB400011A
2025/2026,Eligible,Supply teacher with full term contract employed directly,Eligible school,Y,Y,Y,N,2024/2025,Y,Computing,Computing,,N,Kenneth,Decerqueira,3013053,08/07/1965,AB400011A
2025/2026,Ineligible,Supply teacher with full term contract NOT employed directly,Eligible school,Y,Y,N,N,2024/2025,Y,Computing,Computing,,N,Kenneth,Decerqueira,3013054,08/07/1965,AB400011A
2025/2026,Ineligible,Subject to poor performance measures,Eligible school,N,,,Y,2024/2025,Y,Computing,Computing,,N,Kenneth,Decerqueira,3013055,08/07/1965,AB400011A
2025/2026,Ineligible,ITT more than 5 years ago,Eligible school,N,,,N,2005/2006,Y,Computing,Computing,,N,Kenneth,Decerqueira,3013056,08/07/1965,AB400011A
2025/2026,Ineligible,Less than 50% of hours teaching eligible subjects,Eligible school,N,,,N,2024/2025,N,Computing,Computing,,N,Kenneth,Decerqueira,3013057,08/07/1965,AB400011A
2025/2026,Ineligible,Teaching ineligible subject,Eligible school,N,,,N,2024/2025,Y,English,English,,N,Kenneth,Decerqueira,3013058,08/07/1965,AB400011A
2025/2026,Eligible,Trainee teacher (25/26 only),Eligible school,N,,,N,2024/2025,Y,Computing,Computing,,Y,Kenneth,Decerqueira,3013059,08/07/1965,AB400011A
2026/2027,Ineligible,Trainee teacher (26/27 only),Eligible school,N,,,N,2024/2025,Y,Computing,Computing,,Y,Kenneth,Decerqueira,3013060,08/07/1965,AB400011A
